,BL,S1,S2,S3,S4,pcnt_S1,pcnt_S2,pcnt_S3,pcnt_S4
5K,21.618,16.602,16.484,16.603,16.481,0.232,0.237,0.232,0.238
10K,20.157,14.867,14.655,14.186,14.021,0.262,0.273,0.296,0.304
15K,18.998,13.405,13.234,11.591,11.474,0.294,0.303,0.39,0.396
20K,16.802,11.385,11.188,9.111,8.971,0.322,0.334,0.458,0.466
25K,13.349,8.974,8.729,6.992,6.842,0.328,0.346,0.476,0.487
30K,9.61,6.352,6.112,4.444,4.407,0.339,0.364,0.538,0.541
35K,5.1,3.711,3.546,2.634,2.623,0.272,0.305,0.484,0.486
40K,1.118,1.037,0.998,0.791,0.78,0.072,0.107,0.292,0.302
Overall MAE,13.344,9.542,9.368,8.294,8.2,,,,
Overall RMSE,0.338,0.248,0.245,0.229,0.226,,,,
Overall $R^2$,0.885,0.938,0.94,0.948,0.949,,,,
