,BL,S1,S2,S3,S4,pcnt_S1,pcnt_S2,pcnt_S3,pcnt_S4
5K,23.091,14.77,14.553,14.761,14.545,0.36,0.37,0.361,0.37
10K,21.888,13.088,12.775,12.183,12.011,0.402,0.416,0.443,0.451
15K,20.32,11.626,11.31,10.356,10.103,0.428,0.443,0.49,0.503
20K,17.622,9.758,9.456,8.366,8.174,0.446,0.463,0.525,0.536
25K,14.301,7.676,7.395,6.25,6.121,0.463,0.483,0.563,0.572
30K,9.511,5.586,5.346,3.969,3.977,0.413,0.438,0.583,0.582
35K,4.586,3.329,3.137,2.193,2.171,0.274,0.316,0.522,0.527
40K,1.078,0.913,0.885,0.724,0.696,0.153,0.179,0.329,0.354
Overall MAE,14.05,8.343,8.107,7.35,7.225,,,,
Overall RMSE,0.428,0.286,0.277,0.261,0.255,,,,
Overall $R^2$,0.817,0.918,0.923,0.932,0.935,,,,
