,BL,S1,S2,S3,S4,pcnt_S1,pcnt_S2,pcnt_S3,pcnt_S4
5K,23.001,14.768,14.755,14.767,14.757,0.358,0.359,0.358,0.358
10K,20.742,13.854,13.669,14.754,14.481,0.332,0.341,0.289,0.302
15K,19.866,13.073,12.926,12.135,11.829,0.342,0.349,0.389,0.405
20K,17.836,11.634,11.362,9.637,9.392,0.348,0.363,0.46,0.473
25K,14.524,9.417,9.107,7.532,7.266,0.352,0.373,0.481,0.5
30K,10.301,6.291,5.95,4.969,4.9,0.389,0.422,0.518,0.524
35K,5.692,3.532,3.321,3.177,3.123,0.379,0.417,0.442,0.451
40K,1.065,0.957,0.867,0.897,0.857,0.101,0.185,0.158,0.195
Overall MAE,14.128,9.191,8.995,8.484,8.326,,,,
Overall RMSE,0.317,0.215,0.207,0.205,0.199,,,,
Overall $R^2$,0.9,0.954,0.957,0.958,0.961,,,,
