,BL,S1,S2,S3,S4,pcnt_S1,pcnt_S2,pcnt_S3,pcnt_S4
5K,18.76,20.269,20.144,20.281,20.14,-0.08,-0.074,-0.081,-0.074
10K,17.84,17.659,17.521,15.621,15.57,0.01,0.018,0.124,0.127
15K,16.807,15.515,15.465,12.282,12.489,0.077,0.08,0.269,0.257
20K,14.948,12.762,12.748,9.33,9.348,0.146,0.147,0.376,0.375
25K,11.222,9.83,9.685,7.194,7.137,0.124,0.137,0.359,0.364
30K,9.018,7.18,7.039,4.395,4.345,0.204,0.219,0.513,0.518
35K,5.021,4.273,4.181,2.53,2.574,0.149,0.167,0.496,0.487
40K,1.21,1.241,1.243,0.752,0.786,-0.026,-0.027,0.378,0.35
Overall MAE,11.853,11.091,11.003,9.048,9.049,,,,
Overall RMSE,0.356,0.305,0.309,0.275,0.279,,,,
Overall $R^2$,0.873,0.907,0.904,0.924,0.922,,,,
