"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.286156805814719,-0.20614537561692,-0.23666929766471,-0.195950430831986,-0.14388172507367,-0.0657759863562816,-0.00834924537674105,0.000728990154541392,1.03252537191191,1.00710953962115,1.02070096584699,1.00939842404092,1.00350792211205,0.994969964683355,0.99088031132949,0.996814898333015,-0.0944947771547923,-0.0987568399441552,-0.0750858759589617,-0.0382443508740578,-0.0104311311681761,-0.0310864120748948,-0.0269952837696522,-0.00196259144923045,0.0247085418099733,0.0299545078185719,0.0117647701172893,0.0115902650172639,0.00857564668389051,-0.0076411602318125,-0.014553472448578,-0.000663596804410902,0.218165664108339,0.193588251612604,0.164124682639645,0.152079008884195,0.121346001548613,0.0954889068053853,0.0599877578694291,0.0158708191453565,21406.9867490928
"2",-0.214547028978097,-0.284476789884082,-0.236586202813145,-0.193202757912718,-0.129559387509418,-0.0714201520366279,0.00579226903453531,0.00461027462749435,1.01702319193836,1.03031173060619,1.01934084159203,1.01153472444862,1.00253628615894,0.993495216088289,0.985289960368598,0.995756907147775,-0.119162571525852,-0.0858083123831568,-0.0574392266494647,-0.045283069136418,-0.0263794127022635,-0.0285540441625532,-0.0263652342463162,-0.00309693980019268,-0.0231186196770368,0.0328348451250768,-0.0126025692004413,-0.0012714675303448,0.00312771695385479,-0.000184772939349769,-0.0197788404058225,-0.000892720438330221,0.213623575829155,0.187389870756952,0.171321254665651,0.145807439665784,0.125481440940827,0.0944655096552249,0.0596462750147915,0.0157871393678168,21397.5391348724
"3",-0.233504399492651,-0.232218058818565,-0.197209460974643,-0.211718669470249,-0.153430847944755,-0.0746332499413679,-0.0129553232898154,-0.00413517379533068,1.01439670792645,1.01285384586842,1.00782219734505,1.01911483495234,1.00709074630382,0.997005993997317,0.992614036270633,0.998312428578163,-0.095990431345876,-0.0686588496967135,-0.0933848212413958,-0.0462316141097796,-0.0127478635233758,-0.0405468236072074,-0.0245990783266001,-0.00159164078642069,0.0130108452365469,0.0304748454748983,0.0210118643207761,-0.000656729512696128,0.00870508373652921,-0.00662308682003984,-0.0133211201155536,0.000233101799903954,0.210193200910696,0.184998746208038,0.166884094511334,0.148543049899038,0.126176824483394,0.0972919134956947,0.0595503702905855,0.0160174565521454,21402.3027125929
"4",-0.283904090661806,-0.250474114565289,-0.250047542323056,-0.169678633090628,-0.140846429471329,-0.0511301168542565,-0.0309628684081182,0.00567954041558584,1.02805302125662,1.02016298009135,1.02108071077724,1.00325700779141,1.00370270603374,0.991817861956302,0.997949099293243,0.995520465927633,-0.0672562582360409,-0.102111929754929,-0.0432795420204666,-0.0580270229304206,-0.0286597216546024,-0.0367371455308074,-0.0204925170227397,-0.00285188226437847,0.0249432762309676,0.0235789062232797,0.0096348603764165,0.0123561285954943,0.00313463883878063,-0.00516340274909057,-0.0120947643368653,-0.000721774753197402,0.207132428634532,0.19119821378391,0.165478853349414,0.15051083730383,0.124016998013321,0.0956742228727842,0.0594456855550568,0.0165331537716163,21391.7883665264
"5",-0.211638611196401,-0.298376154591956,-0.201352255851039,-0.115404011663761,-0.144272776963348,-0.0712791716797622,-0.0135863526567966,0.0022482054184403,1.00915779999233,1.03246646560592,1.00883126613294,0.99247412621216,1.00364346205341,0.995448688295112,0.991843329168851,0.996256724280004,-0.0939789649795105,-0.0571151715039322,-0.0885192924701853,-0.0732248917614416,-0.0142214154923624,-0.0363173399375375,-0.0205311125458389,-0.00180330324244609,0.0155020126587278,0.03050506706804,0.0119575745117675,-0.009838590158504,0.00753088001027695,-0.00101133407174124,-0.0188751923654254,-0.000672392340070612,0.216367303557571,0.187029860549236,0.173079497505818,0.154547339576419,0.125127522825568,0.0962511917556902,0.0602232758626578,0.0156269209036881,21400.8264661179
"6",-0.247001455445323,-0.238602597093802,-0.301289679155545,-0.166367525831417,-0.136081665477697,-0.0647714705684184,-0.0254600790975261,0.0011006570489286,1.01549699349925,1.02055940172054,1.03815441308369,1.00324077612935,1.0026765694745,0.992614680559246,0.994693742336995,0.996747328155293,-0.0721304899077617,-0.0886810055429464,-0.0681373897753702,-0.0481334215327316,-0.0186475312151593,-0.02636886981195,-0.0175014298936353,-0.00231924157087632,0.0272915879940518,0.0115705600789024,0.0223110693063707,0.00398503546726271,0.00612338037728207,-0.00138885898382093,-0.00844004879660694,-0.000925568599492662,0.214116504164907,0.19048861601675,0.167384223574053,0.150383034054708,0.123502003346483,0.0970859594700765,0.060612237691964,0.0159440156582089,21409.2927742145
"7",-0.234471930435006,-0.182983436192541,-0.2543021973992,-0.134014634364671,-0.10386658943083,-0.0763973246674674,-0.0211803639116548,0.00319036550465376,1.02339981692228,1.00034644742714,1.01996463726256,0.995238275842643,0.990100610537433,0.994712109329774,0.99521318730978,0.995789560408239,-0.118005421976986,-0.0821087990923692,-0.0552574437041368,-0.058625797453909,-0.0225580213849709,-0.0221828458110181,-0.0205404406472199,-0.000828964473008559,-0.00990434032901615,0.0239085750005206,0.0351707938274774,-0.00285325911449271,0.0141130892856606,0.00239440521131073,-0.0146550096575696,2.83083213518037e-05,0.219681944493202,0.186397842173363,0.172101487516105,0.149420938867864,0.123175577852139,0.0952584137513785,0.0605020178412873,0.0157888337220269,21397.7538453302
"8",-0.253380158286189,-0.25753113688456,-0.249998725402341,-0.148888490159312,-0.15873887509256,-0.0719605490566475,-0.0128035455609905,0.00403458241494247,1.02071591639012,1.02143371940505,1.02175191052404,0.999578084999327,1.00709380029256,0.996080240398621,0.990312554483595,0.996082024377468,-0.0927451089121636,-0.0723078284002118,-0.0598623355159014,-0.0602486345421112,-0.0239015345489421,-0.0375680511372535,-0.017650624782189,-0.00533330840938774,0.0154039338609394,0.0283957155215442,0.0105164164103213,-0.00764089664566377,0.00952678049612029,0.0080734637937193,-0.00883445161718904,-0.00159227202761968,0.211681816183232,0.18810878673124,0.166742378578481,0.154043788236836,0.12322441018947,0.0944790016439244,0.061606021354379,0.0163387549734857,21397.428240576
"9",-0.224045584236256,-0.209794645935894,-0.196528240528036,-0.163795721587445,-0.1150181571794,-0.0810800618527653,-0.00814859036186897,0.00141789012522669,1.01181320454397,1.0115439914068,1.00405569957811,1.00555185438638,0.994993188892401,0.996215499935256,0.988927973541899,0.996901379498405,-0.0947615631220923,-0.10537225664856,-0.0652673220145453,-0.066618845274234,-0.0180254271713666,-0.0282982239822183,-0.0240890080369785,-0.00267967269805184,0.0188848433046415,0.00889126319280271,0.014583734252704,-0.0169930267969444,-0.00211637882980944,0.000279030882163482,-0.010393922020497,-0.00114119130626505,0.210068943670954,0.185189159805205,0.169278521879362,0.145696125684849,0.123924501476689,0.0948377861760977,0.0596646801307256,0.0158379363904553,21407.2029986391
"10",-0.233905877551699,-0.189042587683775,-0.218683167652713,-0.237801880961248,-0.107636683418,-0.0737293382405543,-0.00345561692828355,0.00127005959469632,1.01357199490965,1.00203788480536,1.01280443231307,1.02149128375495,0.993380236984236,0.994183678330727,0.987779396570846,0.997212005455869,-0.0865286843177525,-0.0973189272703408,-0.0567668684799974,-0.0376868480450894,-0.0183132003385396,-0.0181342454606606,-0.0230971213626156,-0.00392212844463905,0.0191204780755315,0.0175910736176051,0.00584262622451873,0.027367831512375,-0.0028596705484577,0.00455981037779247,-0.0111153649696955,-0.00168777862774231,0.216267172278059,0.195040838973287,0.167511458050507,0.150937846395622,0.123371704993207,0.097367847860884,0.0573680463098121,0.0161310904984132,21401.0110132836
