"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.158133538133269,-0.216845597866744,-0.220671211746348,-0.213541391056098,-0.166230117614118,-0.104268716346067,-0.0243586110101632,0.00935373248188927,1.01121862272675,1.03096078962442,1.02646374581973,1.02585044882858,1.01380646667232,1.00507454889707,0.999342701131765,0.997272142770843,-0.0521506101347415,-0.0578639455700113,-0.0611544050666275,-0.0554039640405239,-0.058892805618065,-0.044819117177529,-0.0271007366306907,-0.00729675143908545,-0.103872087267543,-0.101014073537967,-0.0214586108507637,0.00726041175971049,0.0491991263478816,0.0310042392684498,0.00145612098151973,-0.0122724764820271,-0.0725849337754416,-0.0810119494395212,-0.0635155545772056,-0.0374535575434406,-0.00203943516551211,-0.00794889507114342,-0.0170102017901372,-0.00331715801446137,0.0203271184769486,0.0260332756968964,0.026468438479565,0.0162235012851528,0.0126732066654028,0.016284871235681,-0.0106830695332226,0.000114627316574027,0.2160148585716,0.189912126406168,0.167325954182049,0.146526397926962,0.118725719388171,0.0926316293430545,0.0588509330301078,0.0152334568752392,21584.9376421391
"2",-0.157606939670117,-0.171402720676311,-0.242995471021168,-0.231873673561862,-0.193024122536149,-0.0798967479889495,-0.0391614175992152,0.00694728155695227,1.01783325726984,1.01069787639292,1.02399957104308,1.03036570834051,1.02053850212015,1.00209369496579,1.00061456163407,0.99788390537632,-0.0436081385764311,-0.0389672957800641,-0.0620403395796985,-0.0691198812622387,-0.0554899584592438,-0.0285965449511855,-0.0259386064996979,-0.00619500895159895,-0.142754841004858,-0.0722680079679367,0.050442576038058,0.0618958868593906,0.0409438161375077,0.00372830998775193,0.0329418057747579,-0.0111489004842041,-0.0934871768907167,-0.0868881026529858,-0.0555063013899526,-0.0576854482158849,-0.0100621894773135,-0.0292633469046117,-0.0160262479711325,-0.00353826091981418,0.00845027314748503,0.0353645801595945,0.0219582638622747,0.00175391072331374,0.0134949539241321,-0.00269154848879123,-0.0133937366112692,-0.00260371035031841,0.218917367021353,0.186544349823684,0.1688333164504,0.142841036290003,0.122837424750568,0.093395265221508,0.0592012697731253,0.0156796833114907,21576.4782540436
"3",-0.207341166486077,-0.30968403745673,-0.266958229405253,-0.266121196470639,-0.146007457758003,-0.125526597568375,-0.0279292744681895,0.00444984058541242,1.02493981810369,1.04618676619766,1.03057664954953,1.03996929306269,1.01124307541378,1.01213316162564,1.00177743298832,0.998898238986879,-0.0357060879165286,-0.0591508088371274,-0.0333774177883654,-0.0683485702505628,-0.0357174942916451,-0.0438798536317142,-0.030884731524781,-0.00843143648331527,-0.0569169976849615,0.0140074301994113,0.0220511881567728,0.0524970484161126,0.00731832734065472,0.0435459701517822,0.00515886286535729,-0.0117362302472384,-0.0859309797632311,-0.0753092407123502,-0.0604987051567083,-0.0369461407984906,-0.0179523731308918,-0.0113950276413528,-0.0175042908596437,-0.00168415557949115,0.00560122460642198,0.0331480966238569,0.0216461970283337,0.00436940988193874,0.00797935235663762,0.016081228044503,-0.00802144025441473,-0.000128225651203514,0.213297785996654,0.184342103076231,0.166992143906465,0.147017003165902,0.120366167245587,0.0967461798850521,0.0587817871426366,0.0157413164979599,21572.7563340536
"4",-0.2302523651949,-0.184116454534636,-0.252063611748164,-0.216741987903949,-0.182465521911345,-0.113008881671173,-0.0318518666185996,0.00771891199932643,1.02751072516432,1.01622454736158,1.0323163187635,1.0187445749555,1.01670556127498,1.00807058920023,1.00245344089273,0.997283903731843,-0.035336590765296,-0.0495370549300892,-0.0654029728875011,-0.0504642196627746,-0.0475183277722243,-0.0450538667999039,-0.0303091726708225,-0.0060223072062358,-0.100010416025728,-0.0661229043882062,-0.00969896317630229,0.0477008298021556,0.0429597159989643,0.0344939612023442,-0.00268978228768589,-0.00947345960205182,-0.0739457351319251,-0.0767996299891119,-0.0618637318773256,-0.0411028475311897,-0.00619039136751722,-0.0158779614325148,-0.0124779209834283,-0.00271974911763604,0.0397861008119969,0.0246685397059868,0.0367547523087231,0.0250399531609678,0.0266896195142059,0.0146926223905118,-0.0050169580684353,-0.00105386685620974,0.211183696167103,0.18912183109069,0.174174140378363,0.145048544619122,0.119826456109556,0.0932357085698852,0.0603251706637818,0.0154395506713929,21578.1299509245
"5",-0.161388997303741,-0.215161461404111,-0.25033862892126,-0.206092478792531,-0.192309538201902,-0.0861434729559336,0.00275290146800392,0.00602235755875905,1.0251474725533,1.02200919673262,1.02995301002591,1.02556862405183,1.01798268127767,1.00595164129829,0.991221123455447,0.998012857258229,-0.0725829356775369,-0.0492199319274521,-0.058688651230844,-0.0488631780388158,-0.0654950431930443,-0.0393428269410898,-0.0207117651179711,-0.00665934660408243,-0.139842701721774,-0.0316564038770509,0.0198959203812719,-0.0244141156092978,0.0939739255326558,-0.00053980470115921,-0.00605174034094743,-0.0125094393968249,-0.101408140305934,-0.0803038412643486,-0.0552206771924691,-0.0328326598084569,-0.00709553838543187,-0.0208780808612165,-0.0282757245756957,-0.00060354078427826,0.0138090451816596,0.0418655874754004,0.0353564455507619,0.0180781463914659,0.0134686316439027,0.00196429187383054,-0.0181038170248008,0.000360427703368551,0.215511055709985,0.186876189940176,0.161965512059114,0.146115100728201,0.120852499485779,0.0963848700708797,0.0579864728579796,0.0156325729991564,21579.5165450408
"6",-0.234283713752887,-0.176450198708658,-0.296119008228261,-0.266244328046737,-0.15543388702685,-0.0761507308972613,0.0026001868876758,0.00993044857879161,1.02931114932193,1.01465320911548,1.04689050389857,1.03624114750427,1.00438891438797,1.00100191141087,0.994533275020586,0.996360497146337,-0.0537143584381111,-0.0383199195065219,-0.0495451380411908,-0.0491787177793537,-0.0539020872951291,-0.0372801446411448,-0.0199396622489398,-0.0058639325604969,-0.0193934741508614,-0.0541767763268202,-0.0104811449758321,0.0378180730545408,0.090139333236912,0.00816574096439835,-0.0177801865356883,-0.00873424079880815,-0.0854893605314549,-0.0979096149145812,-0.0487855987791494,-0.0235602535433413,-0.0111363945520879,-0.0283060487788708,-0.0320428422947026,-0.00265747174460074,0.0193435033743889,0.00395342407797128,0.0226286824889892,0.0178574443787221,0.00961240418102613,0.00678892838263489,-0.022257066942153,-0.00203310549331498,0.213484430496327,0.188504513893526,0.165426243531742,0.148355302780221,0.119769705859586,0.0954599704228652,0.057886510355933,0.0155288676453585,21573.9258956071
"7",-0.139661239606742,-0.285196015356498,-0.229826215118711,-0.207197060210659,-0.185921990836098,-0.0879149261762215,-0.026401470539093,0.00416663250822063,1.01197863929257,1.03568675599807,1.03466684307816,1.02154396672892,1.01634533667436,1.00509267712161,0.999257665249432,0.99867203623817,-0.0594554384332443,-0.0326963812656197,-0.0477189130350443,-0.0524706332987323,-0.0610535972440672,-0.0356813649603995,-0.0236192893239781,-0.00759076181674634,-0.113210567121773,0.0215534986374613,-0.0627417684500495,0.0058776355469716,0.0865207482362445,0.0147923156471681,0.005950403673964,-0.00966820935327711,-0.0727522391373633,-0.092730717235376,-0.0560848561638155,-0.0318228746943208,-0.00969888124610044,-0.0276907427350442,-0.0212786561208586,-0.00109196073911838,-0.0116422146922766,0.013239245977951,0.0158842638968504,0.0193138512159282,0.00773840089562185,-0.00338894578759477,-0.0128441166488326,-0.000760010239567003,0.213251333782049,0.188706274153526,0.171310538075276,0.147059303538765,0.11991359212228,0.0947101120908267,0.0572386470855824,0.015583153010404,21576.0857434144
"8",-0.175776553346695,-0.22103376050349,-0.268828194691837,-0.22302431207321,-0.186929732831575,-0.0832979304227433,-0.0306148990393892,0.0121320925999685,1.01985112151207,1.03728382849447,1.02823995769732,1.02724127500132,1.01268826035371,1.00623243950064,0.998767043136616,0.996704209133707,-0.0621084235968828,-0.0466787312508402,-0.0593405873987878,-0.0483477318785463,-0.0367177532850054,-0.0457214207814122,-0.0203775310197219,-0.00666556319928274,-0.106172678158695,-0.140692660343094,0.0731862904349374,0.0358103978365434,0.0878598668586028,0.00197520438310259,0.00452118270298187,-0.0153083667876329,-0.0861131736518178,-0.0719672271605835,-0.0556010564207845,-0.0585396928625116,-0.0177066964140945,-0.0175255625013567,-0.0139934582565437,-0.00379798048618097,0.00931902349344046,0.0306028531694634,0.0196710112453308,0.000138768101128718,0.00997630218346165,0.00239036348177435,-0.00341184745155776,-0.00183839708834724,0.210692746192174,0.185261594400962,0.161448985342101,0.147268482082392,0.123688274355631,0.0958359499814322,0.0589056778290164,0.0156459686963784,21576.1353531597
"9",-0.185452375785821,-0.265288634879692,-0.212870037308403,-0.233522954482854,-0.161246387850187,-0.10893276460268,-0.0226825852504593,0.00474181009241988,1.02291855421829,1.03931936281893,1.02733782942648,1.02413096741692,1.01907384486654,1.0082446194766,0.99935946414604,0.998853412018025,-0.0312668648561895,-0.0668350524251457,-0.0414612192990202,-0.057073686252159,-0.0508658753868613,-0.047347064371927,-0.0274315183812475,-0.00757369398904116,-0.130492077009027,-0.0332688628639418,-0.0869628900199836,0.0744038168034181,0.0147638955282154,0.0289354831797971,-0.0026322981443151,-0.0134767935356538,-0.0890759435578743,-0.0719569991581459,-0.0533011305352867,-0.0304715693267909,-0.0163578287408147,-0.00978975785949142,-0.0193343434597701,-0.000678990181472722,0.00942786657103818,0.0442749234870599,0.0426309313837617,0.0215316107055853,0.00654653153464458,0.0164188072119105,-0.0071783774952159,-0.000623628318286434,0.206571060561476,0.186557973166443,0.163364940611543,0.149662182762107,0.118524871275554,0.0937589570103121,0.0576336474566454,0.0151889913216557,21574.091273861
"10",-0.184968235214485,-0.224163221710979,-0.242536043075643,-0.231925574514357,-0.162957018686408,-0.076492178770572,-0.0274857873819006,0.000963846239532316,1.02578596598861,1.02781257014578,1.0345349022252,1.02532077196702,1.01705999226901,1.00248071189919,1.00088387677978,0.998580279546616,-0.05597454254992,-0.0419687953186041,-0.0657941431749053,-0.0576394882160172,-0.0555125098879897,-0.0362529020096467,-0.024564218595677,-0.00694591241327614,-0.0862825204337275,-0.0845269459457329,-0.025923620875942,0.0515339013845805,0.0381302858054294,0.00948308500691543,-0.0021419338361349,-0.00568276661740902,-0.121471183906377,-0.0713273736651754,-0.0602614977463625,-0.0344428822742803,-0.0200878812605467,-0.0312782616611543,-0.0175838776286914,-0.00138746805998584,0.000157104575429627,0.0353152925867873,0.0247002899347239,0.0182429836595151,0.01029646442892,0.00137776504599621,-0.00921894914124035,0.00115675535259416,0.216164992665967,0.184719634138284,0.166898499452869,0.149068875135629,0.121894375317527,0.0931239712184752,0.0580103559840337,0.0159219467089554,21584.4518008154
